Date,High,Low,Open,Close,Volume,Adj Close,EWMA-5,EWMA-12,EWMA-26,MACD,SIGNAL LINE,RSI-7,RSI-14,+DI,-DI,adx,%K,%D,%Ks,%Ds,ichi_a,ichi_b,ichi_base,ichi_con,70,30,80,20
2009-12-03,29.045000076293945,28.579999923706055,29.045000076293945,28.635000228881836,20241800.0,19.04153060913086,28.635000228881836,28.635000228881836,28.635000228881836,0.0,0.0,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,28.8125,28.8125,70,30,80,20
2009-12-04,29.014999389648438,28.405000686645508,28.799999237060547,28.7450008392334,24927200.0,19.114673614501953,28.701000595092772,28.694583892822262,28.69211593041053,0.002467962411731861,0.0013710902287399228,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,28.725000381469727,28.725000381469727,70,30,80,20
2009-12-07,29.049999237060547,28.350000381469727,28.479999542236328,28.934999465942383,16705400.0,19.241024017333984,28.811842165495218,28.78841814653427,28.779381626518326,0.009036520015943239,0.004512659813659314,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,28.699999809265137,28.699999809265137,70,30,80,20
2009-12-08,28.8700008392334,28.53499984741211,28.764999389648438,28.84000015258789,18290800.0,19.177846908569336,28.82353856013371,28.804700569996886,28.79632791740327,0.008372652593614305,0.005820245443725367,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,28.699999809265137,28.699999809265137,70,30,80,20
2009-12-09,28.924999237060547,28.514999389648438,28.725000381469727,28.915000915527344,19494600.0,19.22772789001465,28.85864970130378,28.83466877966665,28.823848675146767,0.010820104519883245,0.007307590480659529,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,28.699999809265137,28.699999809265137,70,30,80,20
2009-12-10,29.459999084472656,28.959999084472656,28.989999771118164,29.290000915527344,30755400.0,19.477087020874023,29.016271272817058,28.945338443615448,28.917215250998105,0.028123192617343307,0.01294977598479144,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,28.90499973297119,28.90499973297119,70,30,80,20
2009-12-11,29.700000762939453,29.299999237060547,29.299999237060547,29.55500030517578,30435600.0,19.65329933166504,29.20701117791153,29.081382354978544,29.030642016693523,0.05074033828502067,0.022513559142516154,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,29.02500057220459,29.02500057220459,70,30,80,20
2009-12-14,29.725000381469727,29.459999084472656,29.55500030517578,29.520000457763672,16670200.0,19.630023956298828,29.315577007417733,29.172915192562424,29.10948978703279,0.06342540552963527,0.032345445176782714,,,0.0,0.0,0.0,,,,,28.12510112103294,27.89905336674522,29.037500381469727,29.037500381469727,70,30,80,20
2009-12-15,29.594999313354492,29.424999237060547,29.575000762939453,29.530000686645508,15299800.0,19.636674880981445,29.38896043861138,29.2435594130268,29.171818733804695,0.07174067922210625,0.04144593968201637,,,0.0,0.0,0.0,85.8182040127841,85.8182040127841,85.8182040127841,85.8182040127841,28.12510112103294,27.89905336674522,29.037500381469727,29.037500381469727,70,30,80,20
2009-12-16,29.600000381469727,29.190000534057617,29.475000381469727,29.209999084472656,19605000.0,19.42388343811035,29.32825390981323,29.237199743808826,29.177087250599435,0.060112493209391715,0.04562833126409363,,,0.0,0.0,0.0,62.54536021839488,71.85449773615058,71.85449773615058,77.43998024680398,28.12510112103294,27.89905336674522,29.037500381469727,29.037500381469727,70,30,80,20
2009-12-17,29.135000228881836,28.469999313354492,29.1299991607666,28.489999771118164,25472000.0,18.94510269165039,29.045567722937207,29.10048016507029,29.087971786841088,0.012508378229203032,0.038381874785354035,,,0.0,0.0,0.0,10.181773792613637,42.64110218394887,42.64110218394887,60.956301164398916,28.12510112103294,27.89905336674522,29.037500381469727,29.037500381469727,70,30,80,20
2009-12-18,28.6299991607666,28.155000686645508,28.6299991607666,28.459999084472656,37737800.0,18.92516326904297,28.848862098349738,28.98660473154948,29.010815445758787,-0.02421071420930687,0.024939611701126057,,,0.0,0.0,0.0,19.426653319273214,32.99817727092975,32.99817727092975,49.3429266240348,28.12510112103294,27.89905336674522,28.940000534057617,28.940000534057617,70,30,80,20
2009-12-21,28.80500030517578,28.450000762939453,28.510000228881836,28.59000015258789,14616200.0,19.01160430908203,28.762129129056774,28.917739109838827,28.96151701006777,-0.04377790022894246,0.010396598721407463,41.02651635257995,,0.0,0.0,0.0,27.706977738685897,30.966958493148937,30.966958493148937,42.28864501928715,28.12510112103294,27.89905336674522,28.940000534057617,28.940000534057617,70,30,80,20
2009-12-22,28.790000915527344,28.545000076293945,28.575000762939453,28.635000228881836,12111800.0,19.04153060913086,28.719607170565823,28.869597705757677,28.92484528974061,-0.055247583982932724,-0.0033362132784989264,42.77941402859948,,0.0,0.0,0.0,30.573225193529105,30.82308301674651,30.82308301674651,38.09897349053922,28.12510112103294,27.89905336674522,28.940000534057617,28.940000534057617,70,30,80,20
2009-12-23,28.75,28.4950008392334,28.600000381469727,28.645000457763672,10937600.0,19.048175811767578,28.69468134422922,28.83197382174798,28.894572933840088,-0.06259911209210856,-0.015621026479942228,43.18878693463163,,0.0,0.0,0.0,31.210182570960672,30.960137691356575,30.960137691356575,35.57143036397092,28.12510112103294,27.89905336674522,28.940000534057617,28.940000534057617,70,30,80,20
2009-12-24,28.7549991607666,28.524999618530273,28.7450008392334,28.719999313354492,5814200.0,19.098051071166992,28.70313353521482,28.813469151366796,28.876311099049236,-0.06284194768243978,-0.025338740040248543,46.33023405465137,,16.598854460610703,25.410019224043012,0.0,35.9871806709009,32.70385585095426,32.70385585095426,34.57676177396816,28.12510112103294,27.89905336674522,28.940000534057617,28.940000534057617,70,30,80,20
2009-12-28,28.790000915527344,28.639999389648438,28.704999923706055,28.719999313354492,7679600.0,19.098051071166992,28.70876117308436,28.79819680754221,28.860444087750842,-0.062247280208630684,-0.032890498558161285,46.33023405465137,,16.781605231004036,24.720573494422574,0.0,39.100259241073076,34.89293324089582,34.89293324089582,34.68496692729936,28.12510112103294,27.89905336674522,28.940000534057617,28.877500534057617,70,30,80,20
