Date,High,Low,Open,Close,Volume,Adj Close,Buy Sell Signal
12/31/2009,7.619642735,7.519999981,7.611785889,7.526071548,352410800,6.439647675,Wait or Hold
1/4/2010,7.660714149,7.585000038,7.622499943,7.643214226,493729600,6.539881706,Wait or Hold
1/5/2010,7.699642658,7.616071224,7.66428566,7.656428337,601904800,6.551187038,Wait or Hold
1/6/2010,7.686785698,7.526785851,7.656428337,7.534642696,552160000,6.446983337,Wait or Hold
1/7/2010,7.571428776,7.466071606,7.5625,7.520714283,477131200,6.435065269,Wait or Hold
1/8/2010,7.571428776,7.466428757,7.510714054,7.570714474,447610800,6.477846622,Wait or Hold
1/11/2010,7.607142925,7.444643021,7.599999905,7.503928661,462229600,6.420701981,Wait or Hold
1/12/2010,7.491785526,7.372142792,7.471071243,7.418571472,594459600,6.34766674,Wait or Hold
1/13/2010,7.533214092,7.28928566,7.423928738,7.52321434,605892000,6.437203884,Wait or Hold
1/14/2010,7.516428471,7.465000153,7.503928661,7.479642868,432894000,6.39992094,Wait or Hold
1/15/2010,7.557142735,7.352499962,7.533214092,7.354642868,594067600,6.292966843,Wait or Hold
1/19/2010,7.685357094,7.401428699,7.440357208,7.679999828,730007600,6.571356297,Wait or Hold
1/20/2010,7.698214054,7.482142925,7.675357342,7.561785698,612152800,6.470206738,Wait or Hold
1/21/2010,7.61821413,7.400357246,7.574285507,7.431071281,608154400,6.358362198,Wait or Hold
1/22/2010,7.410714149,7.041428566,7.385000229,7.0625,881767600,6.042994976,Wait or Hold
1/25/2010,7.310714245,7.149642944,7.232500076,7.252500057,1065699600,6.20556736,Wait or Hold
1/26/2010,7.632500172,7.235000134,7.35535717,7.355000019,1867110000,6.293272495,Wait or Hold
1/27/2010,7.520714283,7.126071453,7.387499809,7.424285889,1722568400,6.352555275,Wait or Hold
1/28/2010,7.339285851,7.096428394,7.318928719,7.117499828,1173502400,6.090055466,Wait or Hold
1/29/2010,7.221428394,6.794642925,7.181428432,6.859285831,1245952400,5.869115829,Wait or Hold
2/1/2010,7,6.83214283,6.870357037,6.954642773,749876400,5.950708866,Wait or Hold
2/2/2010,7.011428356,6.906428337,6.996785641,6.994999886,698342400,5.985238552,Wait or Hold
2/3/2010,7.150000095,6.943571568,6.970356941,7.115356922,615328000,6.088223457,Wait or Hold
2/4/2010,7.084642887,6.841785908,7.026071548,6.85892868,757652000,5.868809223,Wait or Hold
2/5/2010,7,6.81607151,6.879642963,6.980714321,850306800,5.973015785,Wait or Hold
2/8/2010,7.067142963,6.928571224,6.988928795,6.932857037,478270800,5.932068348,Wait or Hold
2/9/2010,7.053571224,6.955357075,7.014999866,7.00678587,632886800,5.995325089,Wait or Hold
2/10/2010,7.021428585,6.937857151,6.996071339,6.968571663,370361600,5.962625504,Wait or Hold
2/11/2010,7.133928776,6.93071413,6.960000038,7.095356941,550345600,6.071109772,Wait or Hold
2/12/2010,7.201428413,6.982142925,7.07535696,7.156428337,655468800,6.123366356,Wait or Hold
2/16/2010,7.274642944,7.197143078,7.212142944,7.264285564,543737600,6.215652466,Wait or Hold
2/17/2010,7.296785831,7.173571587,7.292500019,7.23392868,436396800,6.189678669,Wait or Hold
2/18/2010,7.281785488,7.175714493,7.201071262,7.247499943,422825200,6.201289177,Wait or Hold
2/19/2010,7.257143021,7.182499886,7.209285736,7.202499866,415469600,6.162786007,Wait or Hold
2/22/2010,7.232142925,7.113928795,7.226428509,7.157856941,390563600,6.124587059,Wait or Hold
2/23/2010,7.190357208,6.98964262,7.142857075,7.037857056,575094800,6.021910667,Wait or Hold
2/24/2010,7.19428587,7.065714359,7.079642773,7.166428566,460566400,6.131923199,Wait or Hold
2/25/2010,7.244999886,7.031785488,7.049285889,7.214285851,665126000,6.172869682,Wait or Hold
2/26/2010,7.327499866,7.214285851,7.227857113,7.307857037,507460800,6.252933025,Wait or Hold
3/1/2010,7.482142925,7.337500095,7.348214149,7.463928699,550093600,6.38647747,Wait or Hold
3/2/2010,7.529643059,7.419285774,7.497499943,7.458928585,566546400,6.382198334,Wait or Hold
3/3/2010,7.495357037,7.426428795,7.462142944,7.476071358,372052800,6.396865368,Wait or Hold
3/4/2010,7.532856941,7.451071262,7.474285603,7.525357246,366041200,6.439036846,Wait or Hold
3/5/2010,7.846428394,7.665357113,7.676428795,7.819643021,899620400,6.690841198,Wait or Hold
3/8/2010,7.860357285,7.794642925,7.857500076,7.824285507,429889600,6.694812775,Wait or Hold
3/9/2010,8.035714149,7.781785488,7.796785831,7.965000153,920259200,6.815215588,Wait or Hold
3/10/2010,8.052857399,7.971428394,7.993928432,8.029999733,596218000,6.870832443,Wait or Hold
3/11/2010,8.053571701,7.975714207,7.996785641,8.053571701,405700400,6.891003132,Wait or Hold
3/12/2010,8.133213997,8.0625,8.120357513,8.092857361,416323600,6.924616337,Wait or Hold
3/15/2010,8.053571701,7.866071224,8.049285889,7.994285583,493502800,6.84027338,Wait or Hold
3/16/2010,8.034999847,7.946785927,8.006428719,8.01607132,446908000,6.858914375,Wait or Hold
3/17/2010,8.087499619,7.973928452,8.032142639,8.004285812,450956800,6.8488307,Wait or Hold
3/18/2010,8.035714149,7.95035696,8.00357151,8.02321434,342109600,6.865026951,Wait or Hold
3/19/2010,8.044285774,7.901071548,8.028214455,7.9375,559445600,6.791684151,Wait or Hold
3/22/2010,8.071428299,7.862500191,7.873928547,8.026785851,456419600,6.86808157,Wait or Hold
3/23/2010,8.170714378,8.00357151,8.058571815,8.155714035,602431200,6.978398323,Wait or Hold
3/24/2010,8.221428871,8.125356674,8.130000114,8.191785812,597780400,7.009264469,Wait or Hold
3/25/2010,8.248929024,8.080357552,8.247142792,8.094642639,542284400,6.926144123,Wait or Hold
3/26/2010,8.283928871,8.162500381,8.176785469,8.24642849,640875200,7.056018829,Wait or Hold
3/29/2010,8.352499962,8.27214241,8.321428299,8.299642563,540744400,7.101551533,Wait or Hold
3/30/2010,8.481428146,8.366071701,8.449999809,8.423213959,527310000,7.207284451,Wait or Hold
3/31/2010,8.450357437,8.373571396,8.410357475,8.392857552,430659600,7.181309223,Wait or Hold
4/1/2010,8.526071548,8.3125,8.478928566,8.427499771,603145200,7.210952282,Wait or Hold
4/5/2010,8.518214226,8.384642601,8.39214325,8.517499924,684507600,7.287958145,Wait or Hold
4/6/2010,8.579999924,8.464285851,8.507143021,8.555000305,447017200,7.320045948,Wait or Hold
4/7/2010,8.640000343,8.523571014,8.555356979,8.592857361,628502000,7.352440357,Wait or Hold
4/8/2010,8.626428604,8.501428604,8.587142944,8.569643021,572989200,7.332575798,Wait or Hold
4/9/2010,8.638928413,8.587857246,8.62250042,8.635356903,334182800,7.388803959,Wait or Hold
4/12/2010,8.681071281,8.636071205,8.649999619,8.653214455,333026400,7.404082775,Wait or Hold
4/13/2010,8.67142868,8.611071587,8.637857437,8.658214569,306210800,7.408361912,Wait or Hold
4/14/2010,8.778928757,8.716785431,8.760000229,8.774642944,404076400,7.507981777,Wait or Hold
4/15/2010,8.893928528,8.768214226,8.777856827,8.890000343,376784800,7.606689453,Wait or Hold
4/16/2010,8.969285965,8.73392868,8.87749958,8.83571434,750545600,7.560237408,Wait or Hold
4/19/2010,8.853214264,8.634642601,8.822500229,8.823928833,566924400,7.550153732,Wait or Hold
4/20/2010,8.901785851,8.677143097,8.876428604,8.735357285,738326400,7.474365711,Wait or Hold
4/21/2010,9.294642448,9.133213997,9.242856979,9.257857323,982391200,7.921441555,Wait or Hold
4/22/2010,9.526785851,9.149999619,9.222857475,9.516785622,793424800,8.142995834,Wait or Hold
4/23/2010,9.720714569,9.535714149,9.571071625,9.672499657,796955600,8.276230812,Wait or Hold
4/26/2010,9.730713844,9.578214645,9.710000038,9.625,479068800,8.235586166,Wait or Hold
4/27/2010,9.565713882,9.304286003,9.54535675,9.358571053,709343600,8.007618904,Wait or Hold
4/28/2010,9.428571701,9.157500267,9.401785851,9.342857361,758402400,7.994168758,Wait or Hold
4/29/2010,9.642857552,9.357500076,9.393571854,9.594285965,558840800,8.20930481,Wait or Hold
